id,date,spent,coupon,spent2
38,2019/9/30,9265,926.5,8338.5
31,2019/9/10,7037,703.7,6333.3
20,2019/9/10,1790,179,1611
30,2019/9/19,8450,0,8450
42,2019/9/26,7052,0,7052
41,2019/9/7,9340,934,8406
5,2019/9/5,4309,430.9,3878.1
18,2019/9/11,7240,0,7240
23,2019/9/23,13850,0,13850
48,2019/9/3,11496,1149.6,10346.4
41,2019/9/18,6662,0,6662
40,2019/9/20,8132,813.2,7318.8
5,2019/9/7,4326,0,4326
20,2019/9/4,2115,211.5,1903.5
10,2019/9/25,9176,917.6,8258.4
36,2019/9/24,3242,324.2,2917.8
22,2019/9/7,10261,0,10261
7,2019/9/18,12405,1240.5,11164.5
32,2019/9/25,10407,1040.7,9366.3
46,2019/9/6,5907,590.7,5316.3
39,2019/9/23,12853,1285.3,11567.7
17,2019/9/3,12651,0,12651
44,2019/9/23,14474,0,14474
1,2019/9/12,10301,1030.1,9270.9
7,2019/9/19,10878,0,10878
9,2019/9/29,1703,170.3,1532.7
3,2019/9/25,3583,0,3583
32,2019/9/29,14089,0,14089
31,2019/9/3,6170,0,6170
4,2019/9/9,8854,885.4,7968.6
10,2019/9/10,8349,834.9,7514.1
49,2019/9/22,7602,760.2,6841.8
28,2019/9/29,14604,1460.4,13143.6
44,2019/9/12,9521,952.1,8568.9
28,2019/9/23,9561,0,9561
33,2019/9/23,12753,0,12753
15,2019/9/22,7414,741.4,6672.6
26,2019/9/23,11518,0,11518
36,2019/9/15,11356,1135.6,10220.4
10,2019/9/2,4185,418.5,3766.5
13,2019/9/28,1592,159.2,1432.8
2,2019/9/3,6833,0,6833
17,2019/9/17,4122,0,4122
12,2019/9/17,8556,0,8556
38,2019/10/1,12004,0,12004
13,2019/9/8,12811,0,12811
34,2019/9/4,12700,0,12700
16,2019/9/19,14211,1421.1,12789.9
8,2019/9/3,8997,0,8997
32,2019/9/19,3403,340.3,3062.7
46,2019/9/15,6615,0,6615
27,2019/9/17,12886,0,12886
33,2019/9/5,7891,789.1,7101.9
21,2019/9/24,13829,0,13829
11,2019/9/29,12751,1275.1,11475.9
40,2019/9/14,7814,0,7814
37,2019/9/26,13846,1384.6,12461.4
5,2019/9/7,5145,0,5145
11,2019/9/6,3828,0,3828
26,2019/9/6,1707,170.7,1536.3
21,2019/9/15,13806,1380.6,12425.4
20,2019/9/1,3151,0,3151
20,2019/9/4,5238,0,5238
40,2019/9/30,2915,291.5,2623.5
44,2019/9/7,2642,0,2642
14,2019/9/16,6230,623,5607
42,2019/9/3,14619,1461.9,13157.1
27,2019/9/21,1933,0,1933
6,2019/9/26,3442,0,3442
37,2019/9/11,11325,0,11325
1,2019/9/29,11471,1147.1,10323.9
7,2019/9/27,10006,1000.6,9005.4
34,2019/9/1,6901,690.1,6210.9
20,2019/9/11,11279,0,11279
44,2019/9/27,14466,0,14466
32,2019/9/16,2118,0,2118
30,2019/9/3,5971,597.1,5373.9
38,2019/9/23,12135,0,12135
33,2019/9/13,3505,0,3505
43,2019/9/28,2281,0,2281
21,2019/9/2,1606,160.6,1445.4
20,2019/9/23,13081,1308.1,11772.9
10,2019/9/16,7872,787.2,7084.8
43,2019/9/22,8071,0,8071
5,2019/9/21,7817,781.7,7035.3
19,2019/9/2,3626,362.6,3263.4
14,2019/9/3,13894,1389.4,12504.6
41,2019/9/21,5279,527.9,4751.1
23,2019/9/14,14833,0,14833
37,2019/9/7,7293,729.3,6563.7
21,2019/9/20,7160,716,6444
16,2019/9/28,14202,1420.2,12781.8
31,2019/9/25,10293,1029.3,9263.7
41,2019/9/4,9259,0,9259
15,2019/9/21,13122,0,13122
48,2019/9/12,3198,0,3198
12,2019/9/6,6409,0,6409
10,2019/9/15,8387,838.7,7548.3
39,2019/9/4,14676,1467.6,13208.4
45,2019/9/4,14668,1466.8,13201.2
20,2019/9/7,7720,772,6948
34,2019/9/21,10708,0,10708
19,2019/9/24,13104,1310.4,11793.6
32,2019/9/11,5778,577.8,5200.2
18,2019/9/16,3205,320.5,2884.5
41,2019/9/25,12789,0,12789
49,2019/9/5,13049,0,13049
19,2019/9/7,14934,1493.4,13440.6
20,2019/9/10,7482,748.2,6733.8
48,2019/9/4,12359,0,12359
41,2019/9/11,2701,0,2701
17,2019/9/22,13390,0,13390
1,2019/10/1,10159,1015.9,9143.1
29,2019/9/5,11247,0,11247
45,2019/9/17,8451,0,8451
22,2019/9/4,3870,387,3483
42,2019/9/7,13225,1322.5,11902.5
3,2019/9/4,10395,1039.5,9355.5
45,2019/9/18,12961,1296.1,11664.9
48,2019/9/1,7934,0,7934
22,2019/9/19,13191,0,13191
32,2019/9/23,12649,1264.9,11384.1
9,2019/9/2,10388,1038.8,9349.2
15,2019/9/24,12647,1264.7,11382.3
23,2019/9/20,9533,953.3,8579.7
49,2019/9/16,4687,468.7,4218.3
43,2019/9/16,6116,0,6116
49,2019/9/1,9386,0,9386
38,2019/9/14,13598,0,13598
9,2019/9/11,7095,709.5,6385.5
24,2019/10/1,11649,1164.9,10484.1
1,2019/9/22,8296,0,8296
37,2019/9/15,5312,0,5312
46,2019/9/19,9784,978.4,8805.6
2,2019/9/19,4852,0,4852
37,2019/9/8,10075,1007.5,9067.5
38,2019/10/1,2715,0,2715
49,2019/9/6,2890,289,2601
46,2019/9/16,5946,0,5946
39,2019/9/6,1829,0,1829
5,2019/10/1,11052,0,11052
22,2019/9/16,5266,0,5266
42,2019/9/12,11572,1157.2,10414.8
42,2019/9/5,11211,1121.1,10089.9
48,2019/9/15,7791,779.1,7011.9
46,2019/9/19,9965,0,9965
33,2019/9/26,14403,1440.3,12962.7
2,2019/9/10,10371,1037.1,9333.9
48,2019/9/14,14697,1469.7,13227.3
34,2019/9/4,12160,0,12160
42,2019/9/25,10351,0,10351
49,2019/9/23,4947,0,4947
19,2019/9/20,11583,1158.3,10424.7
30,2019/9/12,2275,0,2275
23,2019/9/14,2203,0,2203
41,2019/9/3,9183,918.3,8264.7
3,2019/9/21,7070,0,7070
2,2019/9/30,3831,0,3831
49,2019/9/20,10429,0,10429
19,2019/9/20,4225,422.5,3802.5
21,2019/9/15,1903,190.3,1712.7
7,2019/9/17,7964,796.4,7167.6
19,2019/9/16,10049,0,10049
2,2019/9/11,3981,398.1,3582.9
47,2019/9/4,2874,287.4,2586.6
28,2019/9/14,4063,0,4063
26,2019/9/20,5218,0,5218
26,2019/9/15,7772,777.2,6994.8
31,2019/9/30,1791,179.1,1611.9
6,2019/9/16,5531,553.1,4977.9
37,2019/9/7,4609,0,4609
40,2019/9/25,11466,1146.6,10319.4
21,2019/9/29,9542,954.2,8587.8
49,2019/9/7,7921,0,7921
29,2019/9/20,14930,0,14930
22,2019/9/18,8308,0,8308
24,2019/9/11,4589,458.9,4130.1
37,2019/9/14,9079,0,9079
13,2019/9/29,3358,335.8,3022.2
23,2019/9/9,14878,0,14878
30,2019/9/19,4243,424.3,3818.7
11,2019/9/15,14470,1447,13023
49,2019/9/16,1984,0,1984
32,2019/9/10,10864,0,10864
22,2019/9/24,11406,1140.6,10265.4
29,2019/9/25,9170,0,9170
22,2019/9/3,4416,0,4416
30,2019/9/12,2315,231.5,2083.5
43,2019/9/30,5970,597,5373
44,2019/9/1,9049,904.9,8144.1
43,2019/9/18,7545,754.5,6790.5
36,2019/9/6,10311,1031.1,9279.9
43,2019/9/3,7652,0,7652
19,2019/9/22,10113,1011.3,9101.7
39,2019/9/19,2668,0,2668
22,2019/9/28,6800,680,6120
36,2019/9/25,4765,0,4765
10,2019/9/8,5039,503.9,4535.1
22,2019/9/7,9548,0,9548
21,2019/9/9,3980,398,3582
1,2019/9/9,3577,357.7,3219.3
39,2019/10/1,6480,648,5832
35,2019/9/9,10759,0,10759
32,2019/9/2,12898,1289.8,11608.2
19,2019/9/29,11633,0,11633
21,2019/9/11,11027,0,11027
24,2019/9/26,11377,0,11377
4,2019/9/15,3899,0,3899
39,2019/9/17,6296,629.6,5666.4
38,2019/9/3,2965,0,2965
44,2019/9/2,6718,0,6718
19,2019/9/26,12332,0,12332
11,2019/10/1,13986,0,13986
34,2019/9/11,14040,0,14040
1,2019/9/20,11480,0,11480
21,2019/9/12,14503,0,14503
49,2019/9/3,5608,560.8,5047.2
32,2019/9/15,7831,783.1,7047.9
27,2019/9/3,13829,0,13829
24,2019/9/16,11925,1192.5,10732.5
11,2019/9/6,9640,964,8676
21,2019/9/19,1814,0,1814
41,2019/9/22,7774,0,7774
44,2019/9/25,2799,0,2799
26,2019/9/8,13014,1301.4,11712.6
18,2019/9/7,13281,0,13281
10,2019/9/4,4894,0,4894
16,2019/9/19,5747,0,5747
8,2019/9/22,14506,0,14506
35,2019/9/19,5494,0,5494
26,2019/9/6,13501,1350.1,12150.9
2,2019/9/5,8697,0,8697
25,2019/9/12,2332,0,2332
48,2019/9/20,7904,0,7904
49,2019/9/14,10255,1025.5,9229.5
38,2019/9/26,6948,0,6948
12,2019/9/12,8528,852.8,7675.2
37,2019/9/1,14753,0,14753
42,2019/9/15,12680,0,12680
23,2019/9/3,6175,617.5,5557.5
1,2019/9/25,11452,0,11452
18,2019/9/29,12762,1276.2,11485.8
6,2019/9/12,2522,0,2522
6,2019/9/16,11936,0,11936
13,2019/9/7,6778,677.8,6100.2
15,2019/9/17,3274,0,3274
3,2019/9/28,10712,0,10712
40,2019/9/24,5227,0,5227
22,2019/9/5,13937,0,13937
24,2019/9/8,4888,0,4888
2,2019/9/14,6089,0,6089
11,2019/9/1,9721,972.1,8748.9
24,2019/9/7,12007,1200.7,10806.3
19,2019/9/26,14610,1461,13149
29,2019/9/18,13308,0,13308
37,2019/9/28,11380,1138,10242
49,2019/9/24,5547,554.7,4992.3
17,2019/9/30,13002,0,13002
31,2019/9/7,4878,0,4878
27,2019/9/20,4378,0,4378
20,2019/9/10,12888,0,12888
36,2019/9/12,11754,1175.4,10578.6
3,2019/9/21,9269,926.9,8342.1
43,2019/9/26,8191,819.1,7371.9
30,2019/9/6,11474,0,11474
4,2019/9/11,13680,0,13680
39,2019/9/19,14982,1498.2,13483.8
36,2019/9/16,13058,1305.8,11752.2
5,2019/9/27,9775,977.5,8797.5
32,2019/9/27,9882,988.2,8893.8
16,2019/9/24,11109,0,11109
43,2019/9/11,12408,0,12408
44,2019/9/10,8053,805.3,7247.7
1,2019/9/9,4697,469.7,4227.3
49,2019/9/20,3030,303,2727
21,2019/9/28,1931,0,1931
27,2019/9/14,9519,951.9,8567.1
4,2019/9/16,4999,0,4999
14,2019/9/3,12495,0,12495
21,2019/9/22,2640,0,2640
20,2019/9/14,11861,0,11861
35,2019/9/10,5368,536.8,4831.2
41,2019/9/30,2783,278.3,2504.7
40,2019/9/27,4944,494.4,4449.6
38,2019/9/10,9806,980.6,8825.4
14,2019/9/2,7499,749.9,6749.1
3,2019/9/25,10759,1075.9,9683.1
48,2019/9/9,14375,0,14375
41,2019/9/5,6161,616.1,5544.9
7,2019/9/7,14290,1429,12861
23,2019/9/26,6517,651.7,5865.3
9,2019/9/15,7765,0,7765
48,2019/9/18,13386,1338.6,12047.4
32,2019/9/5,14876,1487.6,13388.4
48,2019/9/21,12108,1210.8,10897.2
32,2019/9/1,6374,0,6374
5,2019/9/24,6509,0,6509
40,2019/9/14,8837,883.7,7953.3
6,2019/9/10,10759,0,10759
27,2019/9/11,12998,0,12998
45,2019/9/6,1741,0,1741
46,2019/9/28,11920,1192,10728
1,2019/9/9,10957,0,10957
