id,gender,age,famsize
1,female,32,4
2,female,37,1
3,male,22,1
4,female,21,3
5,female,49,5
6,female,43,4
7,female,46,4
8,female,46,3
9,female,56,3
10,female,56,4
11,male,30,1
12,female,47,2
13,female,45,4
14,female,43,4
15,female,18,1
16,male,44,3
17,male,34,4
18,female,53,2
19,female,52,4
20,female,52,4
21,female,39,3
22,female,24,5
23,female,34,5
24,female,19,2
25,female,54,2
26,female,38,2
27,female,36,1
28,female,57,1
29,male,45,2
30,female,31,5
31,male,36,1
32,male,45,5
33,male,29,3
34,female,59,5
35,female,44,4
36,male,28,1
37,female,27,5
38,female,29,4
39,male,54,3
40,female,42,5
41,male,20,4
42,male,26,1
43,female,42,4
44,female,39,2
45,female,29,3
46,male,42,5
47,female,31,4
48,female,48,1
49,male,43,2
50,female,45,2
51,female,26,1
52,male,18,3
53,female,40,2
54,female,32,1
55,male,18,3
56,female,54,4
57,female,37,3
58,female,36,1
59,male,32,3
60,female,50,3
61,female,32,2
62,female,42,2
63,male,18,2
64,female,22,5
65,female,42,5
66,female,53,2
67,female,37,1
68,female,36,1
69,female,50,5
70,male,51,5
71,male,49,3
72,female,58,5
73,female,30,3
74,male,53,3
75,male,33,4
76,female,25,4
77,female,48,3
78,female,27,2
79,female,56,2
80,male,55,5
81,male,57,1
82,female,20,2
83,male,53,4
84,male,51,3
85,male,32,2
86,male,40,1
87,male,57,5
88,female,35,2
89,female,43,3
90,male,58,2
91,female,41,1
92,male,24,4
93,female,36,5
94,female,19,3
95,female,55,4
96,female,35,5
97,female,59,4
98,male,36,4
99,female,50,1
100,female,43,1
101,female,57,2
102,male,43,4
103,female,25,2
104,female,44,5
105,male,41,1
106,female,39,2
107,female,38,1
108,female,24,1
109,female,44,3
110,female,43,5
111,male,41,3
112,female,36,5
113,female,49,3
114,female,56,1
115,male,30,2
116,female,49,2
117,female,25,5
118,female,51,4
119,female,49,1
120,male,28,3
121,female,40,3
122,female,43,2
123,female,57,2
124,female,35,1
125,male,29,4
126,male,26,4
127,female,54,2
128,female,53,5
129,female,32,5
130,female,27,4
131,male,52,5
132,male,53,3
133,male,38,5
134,female,58,3
135,male,58,1
136,male,38,5
137,male,59,4
138,female,53,5
139,female,33,2
140,female,35,2
141,female,53,1
142,male,22,3
143,female,56,1
144,female,31,5
145,female,37,5
146,female,30,4
147,female,35,2
148,female,48,4
149,male,57,2
150,male,54,5
151,female,22,2
152,female,40,4
153,female,43,4
154,female,53,4
155,male,22,5
156,male,39,3
157,female,32,4
158,female,44,4
159,female,18,5
160,female,52,4
161,female,52,3
162,female,57,5
163,male,54,1
164,male,48,4
165,female,32,5
166,female,57,5
167,female,34,1
168,female,50,2
169,female,41,3
170,female,31,3
171,male,48,3
172,female,34,2
173,male,54,3
174,female,38,3
175,male,36,1
176,female,45,3
177,female,49,3
178,female,47,5
179,female,31,4
180,female,45,1
181,female,34,5
182,male,26,4
183,female,32,2
184,female,48,5
185,female,49,3
186,male,58,4
187,male,31,1
188,female,20,1
189,female,29,2
190,female,49,5
191,female,22,1
192,female,31,5
193,male,45,3
194,female,51,4
195,male,24,5
196,female,43,1
197,female,18,1
198,female,22,2
199,male,24,4
200,female,30,5
201,female,57,1
202,female,48,4
203,female,46,2
204,male,37,3
205,male,28,4
206,female,42,1
207,female,37,1
208,female,49,4
209,female,24,3
210,male,52,4
211,male,45,1
212,female,43,5
213,female,49,4
214,female,58,5
215,female,57,1
216,female,42,4
217,female,25,4
218,female,22,3
219,female,42,4
220,female,23,3
221,female,23,5
222,female,50,2
223,male,21,1
224,male,20,3
225,female,19,1
226,female,49,4
227,female,51,4
228,female,20,4
229,female,30,3
230,female,19,1
231,male,23,1
232,female,54,3
233,male,24,3
234,female,37,5
235,female,55,4
236,female,49,5
237,male,58,1
238,female,24,3
239,female,22,2
240,female,31,5
241,female,33,4
242,female,30,4
243,female,19,4
244,male,43,3
245,female,27,1
246,male,40,3
247,female,54,3
248,male,26,1
249,female,20,5
250,female,24,4
251,male,49,5
252,male,54,3
253,female,56,4
254,female,32,3
255,female,34,5
256,female,25,2
257,female,55,1
258,female,24,2
259,female,50,3
260,male,30,3
261,female,53,1
262,female,25,2
263,female,19,1
264,male,38,3
265,female,51,1
266,female,19,1
267,female,34,1
268,male,18,2
269,female,29,3
270,male,25,4
271,female,30,2
272,female,25,4
273,female,40,1
274,female,25,3
275,female,32,4
276,male,57,3
277,female,56,2
278,female,20,5
279,male,52,2
280,male,58,5
281,female,55,4
282,male,18,4
283,female,55,3
284,female,47,2
285,male,22,5
286,male,52,1
287,male,30,4
288,male,52,2
289,female,19,2
290,female,35,5
291,male,45,4
292,female,28,3
293,male,22,4
294,female,38,2
295,female,46,5
296,male,45,1
297,male,54,3
298,female,34,1
299,female,55,3
300,female,52,4
301,female,33,3
302,male,58,4
303,female,40,4
304,female,47,5
305,female,48,4
306,female,36,3
307,male,44,5
308,female,44,5
309,male,55,4
310,female,19,2
311,female,51,4
312,female,42,5
313,female,53,3
314,male,19,4
315,male,26,3
316,female,57,4
317,female,39,5
318,female,41,4
319,female,25,2
320,female,31,3
321,male,47,3
322,male,57,3
323,female,22,2
324,female,36,1
325,female,34,5
326,female,22,2
327,male,56,1
328,female,19,2
329,female,48,3
330,male,24,5
331,female,39,3
332,female,53,2
333,male,45,2
334,female,58,3
335,female,32,1
336,male,47,5
337,female,29,1
338,female,22,1
339,female,59,4
340,male,49,4
341,female,32,2
342,female,25,2
343,female,38,4
344,female,44,3
345,female,48,1
346,female,33,2
347,female,24,5
348,male,23,5
349,male,30,1
350,male,35,1
351,female,39,5
352,female,36,5
353,male,28,4
354,male,18,3
355,female,49,5
356,female,28,3
357,female,24,3
358,male,52,3
359,male,34,2
360,male,48,1
361,female,53,4
362,female,31,4
363,male,22,4
364,male,44,5
365,female,40,2
366,female,21,3
367,female,29,4
368,female,56,3
369,male,38,5
370,female,28,1
371,female,40,1
372,male,28,5
373,female,35,4
374,female,19,3
375,female,42,2
376,male,25,2
377,male,46,4
378,female,57,3
379,female,35,5
380,male,43,1
381,female,40,2
382,male,58,1
383,female,32,2
384,female,52,2
385,female,23,1
386,male,52,4
387,female,18,4
388,male,30,1
389,male,39,5
390,female,45,2
391,female,34,2
392,female,49,3
393,female,53,5
