latitude,longitude,orange,salmon,porgy
43.06,141.34,4430,4501,277
40.82,140.75,3904,3465,486
39.7,141.15,4525,4531,356
38.27,140.87,5108,2648,299
39.72,140.1,4244,4769,929
38.26,140.34,3763,3232,353
37.76,140.47,4402,3349,430
36.37,140.47,4871,2331,434
36.56,139.88,5310,2228,528
36.39,139.06,4436,2196,363
35.93,139.58,4945,2326,698
35.61,140.12,4902,2000,682
35.69,139.7,4834,2084,1047
35.51,139.68,4367,1808,828
35.53,139.7,4072,1825,682
35.6,139.34,5179,2337,785
37.92,139.22,5149,5368,662
36.7,137.21,4855,3160,753
36.56,136.66,4750,1748,994
36.06,136.22,4970,1633,522
35.66,138.57,5198,2451,458
36.65,138.19,4238,2788,604
35.42,136.76,3516,1501,723
34.98,138.38,5679,2358,514
34.71,137.73,5491,1728,437
35.17,136.95,4222,1216,983
34.72,136.51,4725,1914,901
35.02,135.85,4059,2042,1523
35.04,135.75,4839,2102,2122
34.7,135.53,3609,1736,1646
34.57,135.48,4321,2299,1838
34.72,135.27,4141,2039,2013
34.69,135.81,4594,2261,1731
34.23,135.17,6204,1969,1648
35.5,134.24,4133,2286,687
35.47,133.05,4315,1399,1053
34.66,133.92,3437,1715,1686
34.39,132.46,3630,1413,1919
34.18,131.47,3737,1528,2568
34.07,134.55,3788,1666,1070
34.34,134.05,3996,1138,1710
33.84,132.77,5433,1127,2102
33.56,133.53,4413,1890,1109
33.94,130.96,4050,1370,3083
33.62,130.42,3181,856,1905
33.26,130.3,3489,1061,3364
32.75,129.88,3340,832,2618
32.8,130.71,3221,852,2576
33.24,131.61,4432,911,1897
31.91,131.42,3924,877,1030
31.6,130.56,3539,651,1560
26.21,127.68,3272,290,741
